Episode,TotalReward,AvgReward,Steps
1,-11.5,-11.5,358
1,-12.75,-12.75,359
1,-14.5,-14.5,360
1,-15.25,-15.25,361
1,-12.0,-12.0,362
1,-9.75,-9.75,363
1,-11.75,-11.75,364
1,-10.0,-10.0,365
1,-12.25,-12.25,366
1,-14.75,-14.75,367
1,-16.75,-16.75,368
1,-18.75,-18.75,369
1,-21.5,-21.5,370
1,-23.75,-23.75,371
1,-27.25,-27.25,372
1,-29.25,-29.25,373
1,-31.75,-31.75,374
1,-34.25,-34.25,375
1,-37.5,-37.5,376
1,-40.25,-40.25,377
1,-43.75,-43.75,378
1,-46.75,-46.75,379
1,-49.75,-49.75,380
1,-52.75,-52.75,381
1,-55.75,-55.75,382
1,-58.75,-58.75,383
1,-61.75,-61.75,384
1,-64.75,-64.75,385
1,-67.75,-67.75,386
1,-64.0,-64.0,387
1,-61.0,-61.0,388
1,-64.25,-64.25,389
1,-67.25,-67.25,390
1,-70.25,-70.25,391
1,-73.25,-73.25,392
1,-76.25,-76.25,393
1,-79.25,-79.25,394
1,-82.25,-82.25,395
1,-85.25,-85.25,396
1,-88.25,-88.25,397
1,-91.75,-91.75,398
1,-94.25,-94.25,399
1,-97.25,-97.25,400
1,-100.25,-100.25,401
1,-103.25,-103.25,402
1,-106.25,-106.25,403
1,-109.25,-109.25,404
1,-112.25,-112.25,405
1,-115.25,-115.25,406
1,-118.25,-118.25,407
1,-121.75,-121.75,408
1,-124.25,-124.25,409
1,-127.25,-127.25,410
1,-130.25,-130.25,411
1,-133.25,-133.25,412
1,-136.25,-136.25,413
1,-139.25,-139.25,414
1,-142.25,-142.25,415
1,-145.25,-145.25,416
1,-148.25,-148.25,417
1,-151.25,-151.25,418
1,-154.25,-154.25,419
1,-157.25,-157.25,420
1,-160.75,-160.75,421
1,-163.25,-163.25,422
1,-166.25,-166.25,423
1,-169.25,-169.25,424
1,-172.25,-172.25,425
1,-175.25,-175.25,426
1,-178.25,-178.25,427
1,-181.25,-181.25,428
1,-184.25,-184.25,429
1,-187.25,-187.25,430
1,-190.25,-190.25,431
1,-193.75,-193.75,432
1,-196.25,-196.25,433
1,-199.25,-199.25,434
1,-202.25,-202.25,435
1,-205.25,-205.25,436
1,-208.25,-208.25,437
1,-211.25,-211.25,438
1,-214.25,-214.25,439
1,-217.25,-217.25,440
1,-220.25,-220.25,441
1,-223.25,-223.25,442
1,-226.25,-226.25,443
1,-229.75,-229.75,444
1,-232.25,-232.25,445
1,-235.25,-235.25,446
1,-238.25,-238.25,447
1,-241.25,-241.25,448
1,-244.25,-244.25,449
1,-247.25,-247.25,450
1,-250.25,-250.25,451
1,-253.25,-253.25,452
1,-256.25,-256.25,453
1,-259.25,-259.25,454
1,-262.25,-262.25,455
1,-265.75,-265.75,456
1,-268.25,-268.25,457
1,-271.25,-271.25,458
1,-274.25,-274.25,459
1,-277.25,-277.25,460
1,-280.25,-280.25,461
1,-283.25,-283.25,462
1,-286.25,-286.25,463
1,-289.25,-289.25,464
1,-292.25,-292.25,465
1,-295.25,-295.25,466
1,-298.25,-298.25,467
1,-301.75,-301.75,468
1,-304.25,-304.25,469
1,-307.25,-307.25,470
1,-288.75,-288.75,471
1,-271.0,-271.0,472
1,-273.75,-273.75,473
1,-249.5,-249.5,474
1,-253.0,-253.0,475
1,-256.0,-256.0,476
1,-259.0,-259.0,477
1,-262.0,-262.0,478
1,-265.0,-265.0,479
1,-268.5,-268.5,480
1,-271.0,-271.0,481
1,-274.0,-274.0,482
1,-277.0,-277.0,483
1,-280.0,-280.0,484
1,-283.0,-283.0,485
1,-286.0,-286.0,486
1,-289.0,-289.0,487
1,-292.0,-292.0,488
1,-295.0,-295.0,489
1,-298.0,-298.0,490
1,-301.0,-301.0,491
1,-304.5,-304.5,492
1,-307.0,-307.0,493
1,-310.0,-310.0,494
1,-313.0,-313.0,495
1,-316.0,-316.0,496
1,-319.0,-319.0,497
1,-322.0,-322.0,498
1,-325.0,-325.0,499
1,-328.0,-328.0,500
1,-331.0,-331.0,501
1,-334.0,-334.0,502
1,-337.0,-337.0,503
1,-340.5,-340.5,504
1,-343.0,-343.0,505
1,-346.0,-346.0,506
1,-349.0,-349.0,507
1,-352.0,-352.0,508
1,-355.0,-355.0,509
1,-358.0,-358.0,510
1,-361.0,-361.0,511
1,-364.0,-364.0,512
1,-367.0,-367.0,513
1,-370.0,-370.0,514
1,-373.0,-373.0,515
1,-364.75,-364.75,516
1,-356.25,-356.25,517
1,-359.75,-359.75,518
1,-362.75,-362.75,519
1,-365.75,-365.75,520
1,-368.75,-368.75,521
1,-371.75,-371.75,522
1,-374.75,-374.75,523
1,-377.75,-377.75,524
1,-380.75,-380.75,525
1,-383.75,-383.75,526
1,-383.5,-383.5,527
1,-383.0,-383.0,528
1,-385.5,-385.5,529
1,-373.5,-373.5,530
1,-331.5,-331.5,531
1,-333.0,-333.0,532
1,-290.75,-290.75,533
1,-248.75,-248.75,534
1,-250.25,-250.25,535
1,-208.0,-208.0,536
1,-209.25,-209.25,537
1,-167.75,-167.75,538
1,-126.0,-126.0,539
1,-127.5,-127.5,540
1,-85.0,-85.0,541
1,-85.75,-85.75,542
1,-44.75,-44.75,543
1,-45.5,-45.5,544
1,-3.75,-3.75,545
1,-5.0,-5.0,546
1,-5.75,-5.75,547
1,-6.5,-6.5,548
1,-8.0,-8.0,549
1,-8.75,-8.75,550
1,-9.75,-9.75,551
1,-12.0,-12.0,552
1,-12.75,-12.75,553
1,-14.0,-14.0,554
1,-16.5,-16.5,555
1,-17.5,-17.5,556
1,-19.0,-19.0,557
1,-21.25,-21.25,558
1,-23.0,-23.0,559
1,-24.75,-24.75,560
1,-26.5,-26.5,561
1,-29.0,-29.0,562
1,-31.0,-31.0,563
1,-33.75,-33.75,564
1,-36.0,-36.0,565
1,-39.5,-39.5,566
1,-41.5,-41.5,567
1,-44.0,-44.0,568
1,-47.25,-47.25,569
1,-50.0,-50.0,570
1,-52.75,-52.75,571
1,-56.25,-56.25,572
1,-59.25,-59.25,573
1,-62.25,-62.25,574
1,-65.25,-65.25,575
1,-68.75,-68.75,576
1,-71.25,-71.25,577
1,-74.25,-74.25,578
1,-77.25,-77.25,579
1,-80.25,-80.25,580
1,-83.25,-83.25,581
1,-86.25,-86.25,582
1,-89.25,-89.25,583
1,-92.25,-92.25,584
1,-95.25,-95.25,585
1,-98.25,-98.25,586
1,-101.25,-101.25,587
1,-104.75,-104.75,588
1,-107.25,-107.25,589
1,-110.25,-110.25,590
1,-113.25,-113.25,591
1,-116.25,-116.25,592
1,-119.25,-119.25,593
1,-122.25,-122.25,594
1,-125.25,-125.25,595
1,-128.25,-128.25,596
1,-131.25,-131.25,597
1,-134.25,-134.25,598
1,-137.25,-137.25,599
1,-140.75,-140.75,600
1,-143.25,-143.25,601
1,-146.25,-146.25,602
1,-149.25,-149.25,603
1,-152.25,-152.25,604
1,-155.25,-155.25,605
1,-158.25,-158.25,606
1,-161.25,-161.25,607
1,-146.0,-146.0,608
1,-132.25,-132.25,609
1,-135.0,-135.0,610
1,-138.5,-138.5,611
